"IDH","NIVELL","PAIS","ESPVIDA","PIB","ALFAB","CONT","CALORIES","HABMETG","DIARIS","TV","SANITAT","AGRICULT","INDUST"
167,"low","Mozambique      ",46.4,70,36.9,"Africa",1680,33333,1,0,4.4,85,7
147,"low","Tanzania        ",52.1,100,64.4,"Africa",2021,24970,1,0,3.2,85,5
171,"low","Etiopia         ",47.5,110,32.7,"Africa",1610,33333,0,0,2.3,88,2
173,"low","Sierra Leona    ",39,160,28.7,"Africa",1695,13620,0,1,1.7,70,14
160,"low","Butan           ",50.7,170,39.2,"Asia",NA,11111,NA,NA,NA,92,3
151,"low","Nepal           ",53.5,170,25.6,"Africa",1957,16667,1,0,2.2,93,1
158,"low","Uganda          ",44.9,180,58.6,"Africa",2162,25000,0,1,1.6,86,4
165,"low","Burundi         ",50.2,210,32.9,"Africa",1941,16667,0,0,1.7,92,2
146,"low","Bangladesh      ",55.6,220,36.4,"Asia",2019,12500,1,0,1.4,59,13
163,"low","Guinea Bissau   ",43.5,220,51.7,"Africa",2556,7500,1,NA,NA,82,4
162,"low","Txad            ",47.5,220,44.9,"Africa",1989,33333,0,0,4.7,83,5
135,"low","Madagascar      ",56.5,230,77,"Africa",2135,8333,0,2,1.3,81,6
157,"low","Malawi          ",45.6,230,53.9,"Africa",1827,50000,0,NA,2.9,87,5
156,"low","Rwanda          ",47.3,250,56.8,"Africa",1821,25000,0,NA,1.9,90,2
138,"low","Laos            ",51,260,53.5,"Asia",2259,4545,0,1,1,76,7
174,"low","Niger           ",46.5,290,12.4,"Africa",2257,50000,0,0,3.4,85,3
134,"low","India           ",60.4,310,49.9,"Asia",2395,2439,3,4,1.3,62,11
172,"low","Mali            ",46,310,27.2,"Africa",2279,20000,0,0,2.8,85,2
169,"low","Burkina Faso    ",47.4,310,17.4,"Africa",2387,33333,0,1,7,87,4
105,"mid","Guyana          ",65.2,320,97.5,"America",2385,6200,10,4,NA,27,26
141,"low","Nigeria         ",50.4,330,52.5,"Africa",2125,5882,2,3,1.2,48,7
130,"low","Kenya           ",55.7,330,74.5,"Africa",2075,20000,1,1,2.7,81,7
142,"low","Guinea Equat    ",48,340,75.3,"Africa",NA,NA,0,1,NA,77,2
109,"mid","Nicaragua       ",66.7,350,64.7,"America",2296,2000,2,7,6.7,46,16
136,"low","Zambia          ",48.9,370,75.2,"Africa",1931,11111,1,3,2.2,38,8
161,"low","Gambia          ",45,370,35.6,"Africa",2360,11600,0,NA,NA,84,7
133,"low","Sao Tome Princ  ",65.5,370,58,"Africa",2380,2500,NA,NA,NA,NA,NA
140,"low","Togo            ",55,400,47.9,"Africa",2243,11111,0,1,2.5,65,6
155,"low","Benin           ",47.6,410,32.9,"Africa",2532,14286,0,1,2.8,70,7
149,"low","Rep Centroafric ",49.4,410,53.9,"Africa",1691,25000,0,0,2.6,81,3
128,"low","Pakistan        ",61.5,420,35.7,"Asia",2316,2000,1,2,1.8,47,20
129,"low","Ghana           ",56,460,60.7,"Africa",2206,25000,2,2,1.7,59,11
111,"mid","Xina            ",68.5,480,79.3,"Asia",2729,1010,NA,3,2.1,73,14
168,"low","Guinea          ",44.5,490,33,"Africa",2390,7692,NA,1,2.3,78,1
139,"low","Comoras         ",56,530,55.6,"Africa",1897,10000,NA,0,3.3,83,6
150,"low","Mauritania      ",51.5,540,36.2,"Africa",2685,16667,0,2,NA,69,9
97,"mid","Sri Lanka       ",71.9,560,89.3,"Asia",2275,7143,3,5,1.8,49,21
116,"mid","Honduras        ",67.7,570,70.7,"America",2306,1266,3,7,2.9,38,15
121,"mid","Zimbawe         ",53.7,580,83.4,"Africa",1989,7692,2,3,3.2,71,8
131,"low","Lesotho         ",60.5,610,68.6,"Africa",2201,25000,1,1,NA,23,33
107,"mid","Egipte          ",63.6,650,49.1,"Africa",3336,770,4,12,1,42,21
145,"low","Costa Ivori     ",51,680,36.6,"Africa",2491,11111,1,6,1.7,65,8
104,"mid","Indonesia       ",62.7,690,82.5,"Asia",2755,7143,2,6,0.7,56,14
118,"mid","Maldivas        ",62.1,700,92.6,"Asia",2624,20300,1,3,NA,25,32
125,"mid","Salomon         ",70.4,720,45,"Oceania",2222,NA,NA,1,NA,NA,NA
113,"mid","Bolivia         ",59.4,750,80.7,"America",2100,2564,5,10,2.4,47,19
152,"low","Senegal         ",49.3,780,30.5,"Africa",2265,16667,1,4,2.3,81,6
100,"mid","Filipinas       ",66.3,790,94,"Oceania",2258,8333,5,5,1,45,16
127,"mid","Camerun         ",56,830,59.6,"Africa",1981,12500,0,2,1,79,7
123,"mid","Cap Verd        ",64.7,840,66.4,"Africa",2714,5800,NA,0,NA,31,6
102,"mid","Samoa           ",67.6,960,90,"Oceania",2509,2500,NA,4,NA,NA,NA
126,"mid","Papua Nv Guinea ",55.8,990,69.7,"Oceania",2615,6070,2,0,2.8,76,10
