NO_ECON_OVER_ENV,MAN,AGE,HABITAT,LAB_STATUS_R,LOG_INCOME_R,IND_NA_INCOME,IDEOL
0,0,79,c. <10k hab,No treballa,6.62007320653036,0,4.0
0,0,64,c. <10k hab,No treballa,6.85646198459459,0,1.0
1,1,64,c. <10k hab,No treballa,7.00306545878646,0,1.0
0,0,43,c. <10k hab,No treballa,6.85646198459459,0,1.0
1,0,68,c. <10k hab,No treballa,7.60423563130709,1,3.0
0,0,65,c. <10k hab,No treballa,6.10924758276437,0,5.0
0,1,81,c. <10k hab,No treballa,7.00306545878646,0,5.0
0,0,64,b. 10k-150k hab,Treballa,7.69621263934641,0,3.0
0,0,22,b. 10k-150k hab,Treballa,6.62007320653036,0,3.0
1,0,37,b. 10k-150k hab,Treballa,6.62007320653036,0,5.0
0,0,36,b. 10k-150k hab,No treballa,6.62007320653036,0,2.0
1,1,30,b. 10k-150k hab,No treballa,7.60423563130709,1,3.0
0,1,79,c. <10k hab,No treballa,7.3132203870903,0,5.0
0,1,45,c. <10k hab,Treballa,7.69621263934641,0,
0,1,61,c. <10k hab,No treballa,7.90100705199242,0,0.0
1,0,58,c. <10k hab,Treballa,7.69621263934641,0,5.0
0,0,49,c. <10k hab,Treballa,8.1605182474775,0,5.0
1,0,67,b. 10k-150k hab,No treballa,6.85646198459459,0,5.0
0,0,47,b. 10k-150k hab,Treballa,7.60423563130709,1,7.0
1,0,37,c. <10k hab,Treballa,7.3132203870903,0,2.0
0,1,68,c. <10k hab,No treballa,7.60423563130709,1,0.0
1,0,31,c. <10k hab,Treballa,7.60423563130709,1,2.0
0,0,34,c. <10k hab,Treballa,7.90100705199242,0,2.0
0,0,72,c. <10k hab,No treballa,7.60423563130709,1,
1,0,47,c. <10k hab,Treballa,7.69621263934641,0,5.0
1,1,57,c. <10k hab,Treballa,8.1605182474775,0,4.0
1,0,48,c. <10k hab,Treballa,7.60423563130709,1,5.0
0,1,42,a. >150k hab,Treballa,7.90100705199242,0,5.0
1,0,53,a. >150k hab,Treballa,7.60423563130709,1,4.0
0,1,79,a. >150k hab,No treballa,6.85646198459459,0,0.0
0,1,74,b. 10k-150k hab,No treballa,6.62007320653036,0,3.0
1,1,20,b. 10k-150k hab,Treballa,7.90100705199242,0,4.0
1,0,52,b. 10k-150k hab,Treballa,7.69621263934641,0,4.0
0,0,74,a. >150k hab,No treballa,8.1605182474775,0,5.0
1,1,51,a. >150k hab,Treballa,7.54960916515453,0,8.0
0,1,23,a. >150k hab,Treballa,7.60423563130709,1,4.0
1,0,40,a. >150k hab,Treballa,7.54960916515453,0,3.0
1,0,44,a. >150k hab,Treballa,7.60423563130709,1,5.0
0,1,49,a. >150k hab,Treballa,7.00306545878646,0,
0,0,67,a. >150k hab,No treballa,7.60423563130709,1,4.0
1,0,62,b. 10k-150k hab,No treballa,7.54960916515453,0,4.0
0,0,88,b. 10k-150k hab,No treballa,7.69621263934641,0,5.0
0,1,83,b. 10k-150k hab,No treballa,7.00306545878646,0,3.0
1,0,27,c. <10k hab,Treballa,6.10924758276437,0,8.0
0,0,61,c. <10k hab,No treballa,6.85646198459459,0,
1,1,56,b. 10k-150k hab,Treballa,7.90100705199242,0,3.0
1,0,28,c. <10k hab,Treballa,6.62007320653036,0,2.0
0,0,52,b. 10k-150k hab,Treballa,7.00306545878646,0,5.0
1,0,67,a. >150k hab,No treballa,7.3132203870903,0,7.0
1,1,63,a. >150k hab,Treballa,8.1605182474775,0,3.0
1,0,62,a. >150k hab,Treballa,7.90100705199242,0,3.0
0,1,54,a. >150k hab,No treballa,6.85646198459459,0,5.0
0,1,39,b. 10k-150k hab,No treballa,7.60423563130709,1,5.0
0,1,90,b. 10k-150k hab,No treballa,7.90100705199242,0,5.0
0,0,32,b. 10k-150k hab,No treballa,6.85646198459459,0,3.0
1,1,55,b. 10k-150k hab,No treballa,7.00306545878646,0,0.0
0,1,43,b. 10k-150k hab,Treballa,7.54960916515453,0,5.0
1,1,35,b. 10k-150k hab,Treballa,7.3132203870903,0,0.0
0,0,60,c. <10k hab,Treballa,7.60423563130709,1,5.0
0,0,25,c. <10k hab,No treballa,7.00306545878646,0,4.0
0,1,24,c. <10k hab,Treballa,8.77955745588373,0,3.0
0,0,62,b. 10k-150k hab,No treballa,7.60423563130709,1,
0,0,61,b. 10k-150k hab,No treballa,7.60423563130709,1,
0,0,28,b. 10k-150k hab,No treballa,0.0,0,5.0
0,1,71,b. 10k-150k hab,No treballa,7.60423563130709,1,2.0
0,1,74,b. 10k-150k hab,No treballa,7.60423563130709,1,5.0
1,0,41,b. 10k-150k hab,Treballa,7.90100705199242,0,0.0
0,0,43,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
0,0,60,b. 10k-150k hab,Treballa,6.10924758276437,0,7.0
0,0,72,b. 10k-150k hab,No treballa,6.85646198459459,0,6.0
1,0,45,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
1,0,47,b. 10k-150k hab,Treballa,7.3132203870903,0,7.0
0,0,35,b. 10k-150k hab,Treballa,7.3132203870903,0,2.0
0,1,39,b. 10k-150k hab,Treballa,7.90100705199242,0,5.0
1,0,25,b. 10k-150k hab,Treballa,6.85646198459459,0,1.0
1,1,27,b. 10k-150k hab,Treballa,7.3132203870903,0,1.0
1,0,52,b. 10k-150k hab,No treballa,7.54960916515453,0,4.0
1,0,52,b. 10k-150k hab,Treballa,7.3132203870903,0,2.0
1,1,77,b. 10k-150k hab,No treballa,7.54960916515453,0,5.0
0,0,38,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
1,1,77,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,0,60,b. 10k-150k hab,Treballa,7.3132203870903,0,4.0
0,1,75,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,0,82,b. 10k-150k hab,No treballa,7.3132203870903,0,1.0
1,1,31,b. 10k-150k hab,Treballa,7.90100705199242,0,5.0
1,0,33,b. 10k-150k hab,Treballa,7.54960916515453,0,2.0
1,1,35,b. 10k-150k hab,Treballa,8.1605182474775,0,4.0
0,0,69,c. <10k hab,No treballa,7.60423563130709,1,6.0
1,0,60,b. 10k-150k hab,Treballa,8.1605182474775,0,
0,0,48,b. 10k-150k hab,No treballa,6.85646198459459,0,5.0
0,1,68,b. 10k-150k hab,No treballa,7.54960916515453,0,4.0
1,1,46,b. 10k-150k hab,Treballa,7.60423563130709,1,5.0
0,0,45,b. 10k-150k hab,Treballa,6.62007320653036,0,5.0
0,0,55,b. 10k-150k hab,Treballa,7.00306545878646,0,
1,0,70,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,0,23,b. 10k-150k hab,No treballa,7.54960916515453,0,4.0
0,1,32,b. 10k-150k hab,No treballa,6.62007320653036,0,5.0
0,0,60,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
1,1,63,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
0,0,25,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,1,66,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
1,1,21,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
0,1,71,a. >150k hab,No treballa,7.3132203870903,0,
0,0,56,a. >150k hab,No treballa,7.60423563130709,1,5.0
1,1,39,a. >150k hab,Treballa,7.54960916515453,0,3.0
1,1,51,a. >150k hab,No treballa,6.85646198459459,0,10.0
1,1,64,a. >150k hab,No treballa,7.54960916515453,0,
1,1,32,a. >150k hab,Treballa,7.60423563130709,1,4.0
1,0,25,a. >150k hab,No treballa,7.60423563130709,1,5.0
1,1,29,c. <10k hab,Treballa,7.3132203870903,0,3.0
1,0,49,b. 10k-150k hab,Treballa,8.77955745588373,0,6.0
1,0,49,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
