"sold","price","rural","pool","surface","habSize","region"
0,239443.2,"No","No",189.2,"(10000,50000]  ","01"
1,192000,"No","No",149.22,"(50000,1000000]","05"
1,2e+05,"No","Yes",149,"(50000,1000000]","19"
0,191763,"No","No",112.63,"(10000,50000]  ","06"
0,242500,"No","No",103.25,"(10000,50000]  ","06"
0,263500,"No","Yes",126,"(0,10000]      ","01"
0,211936.4,"No","No",99.97,"(10000,50000]  ","06"
0,330000,"No","No",168.31,"(10000,50000]  ","02"
0,272500,"No","Yes",89.15,"(50000,1000000]","01"
1,85005,"No","No",56.5,"(0,10000]      ","11"
0,280000,"No","No",168.19,"(0,10000]      ","01"
0,125500,"No","No",120,"(10000,50000]  ","01"
1,235000,"No","Yes",158.02,"(0,10000]      ","01"
1,240000,"No","No",122.32,"(0,10000]      ","03"
0,425000,"No","No",232.224,"(10000,50000]  ","16"
0,231110,"No","No",80,"(10000,50000]  ","02"
0,247374,"No","No",106.32,"(50000,1000000]","09"
0,167000,"No","No",131.04,"(0,10000]      ","01"
0,3e+05,"No","No",120,"(10000,50000]  ","02"
0,138900,"No","No",191,"(0,10000]      ","01"
1,370000,"No","No",291.13,"(50000,1000000]","12"
0,138900,"No","No",191,"(0,10000]      ","01"
0,325000,"No","No",202.98,"(10000,50000]  ","01"
1,148680,"No","No",227,"(10000,50000]  ","03"
0,151000,"No","No",248.34,"(0,10000]      ","04"
0,145000,"No","No",240,"(0,10000]      ","02"
0,409185,"No","No",137,"(50000,1000000]","09"
1,210000,"No","No",169.91,"(50000,1000000]","09"
1,190000,"No","No",144.8,"(10000,50000]  ","23"
0,514500,"No","No",142.75,"(10000,50000]  ","08"
0,110000,"No","Yes",105,"(0,10000]      ","01"
0,164450,"No","No",60,"(10000,50000]  ","02"
0,137000,"No","No",124.8,"(10000,50000]  ","03"
1,129500,"No","No",142.19,"(0,10000]      ","01"
0,132000,"No","No",135.2,"(0,10000]      ","01"
0,210000,"No","No",80,"(10000,50000]  ","02"
0,450000,"No","No",191.21,"(10000,50000]  ","02"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,220000,"No","No",98.15,"(0,10000]      ","01"
0,60000,"No","No",72,"(10000,50000]  ","03"
0,218000,"No","No",205.95,"(0,10000]      ","03"
0,215000,"No","No",119.33,"(0,10000]      ","01"
0,230000,"No","No",106.14,"(0,10000]      ","02"
0,232380,"No","No",106.72,"(50000,1000000]","09"
0,218449.5,"No","Yes",105.05,"(0,10000]      ","02"
0,242205.24,"No","No",216.53,"(0,10000]      ","07"
0,178500,"No","Yes",132.65,"(0,10000]      ","01"
1,164015.91,"No","No",118.96,"(10000,50000]  ","05"
0,235400,"No","No",80,"(10000,50000]  ","02"
0,87800,"No","No",82.44,"(50000,1000000]","02"
1,225000,"No","No",130,"(50000,1000000]","19"
1,125000,"No","No",95.56,"(10000,50000]  ","03"
0,331069.25,"No","No",223.81,"(50000,1000000]","18"
0,230000,"No","No",106.14,"(0,10000]      ","02"
0,132041,"No","No",92.66,"(10000,50000]  ","03"
0,231100,"No","No",80,"(10000,50000]  ","02"
0,270000,"No","No",168.19,"(0,10000]      ","01"
0,278146.61,"No","No",161,"(0,10000]      ","03"
