Age,Sex,Housing,Saving_accounts,Credit_amount,Risk
67,male,1-own,,1169,good
22,female,1-own,1-little,5951,bad
49,male,1-own,1-little,2096,good
45,male,3-free,1-little,7882,good
53,male,3-free,1-little,4870,bad
35,male,3-free,,9055,good
53,male,1-own,3-quite rich,2835,good
35,male,2-rent,1-little,6948,good
61,male,1-own,4-rich,3059,good
28,male,1-own,1-little,5234,bad
25,female,2-rent,1-little,1295,bad
24,female,2-rent,1-little,4308,bad
22,female,1-own,1-little,1567,good
60,male,1-own,1-little,1199,bad
28,female,2-rent,1-little,1403,good
32,female,1-own,2-moderate,1282,bad
53,male,1-own,,2424,good
25,male,1-own,,8072,good
44,female,3-free,1-little,12579,bad
31,male,1-own,3-quite rich,3430,good
48,male,1-own,1-little,2134,good
44,male,2-rent,3-quite rich,2647,good
48,male,2-rent,1-little,2241,good
44,male,1-own,2-moderate,1804,good
26,male,1-own,,2069,good
36,male,1-own,1-little,1374,good
39,male,1-own,1-little,426,good
42,female,2-rent,4-rich,409,good
34,male,1-own,1-little,2415,good
63,male,1-own,1-little,6836,bad
36,male,1-own,4-rich,1913,good
27,male,1-own,1-little,4020,good
30,male,1-own,2-moderate,5866,good
57,male,2-rent,,1264,good
33,female,1-own,1-little,1474,good
25,male,1-own,1-little,4746,bad
31,male,3-free,1-little,6110,good
37,male,1-own,1-little,2100,bad
37,male,1-own,1-little,1225,good
24,male,1-own,1-little,458,good
30,male,1-own,3-quite rich,2333,good
26,male,1-own,3-quite rich,1158,good
44,male,1-own,1-little,6204,good
24,male,2-rent,2-moderate,6187,good
58,female,3-free,1-little,6143,bad
35,female,1-own,1-little,1393,good
39,male,1-own,3-quite rich,2299,good
23,female,2-rent,3-quite rich,1352,good
39,male,1-own,1-little,7228,good
28,female,1-own,2-moderate,2073,good
29,male,1-own,,2333,good
30,male,1-own,1-little,5965,good
25,male,1-own,1-little,1262,good
31,male,1-own,,3378,good
57,male,3-free,1-little,2225,bad
26,male,1-own,,783,good
52,male,1-own,,6468,bad
31,female,1-own,1-little,9566,good
23,female,1-own,1-little,1961,good
23,female,2-rent,1-little,6229,bad
27,male,1-own,1-little,1391,good
50,male,1-own,,1537,good
61,male,3-free,1-little,1953,bad
25,male,1-own,1-little,14421,bad
26,female,1-own,1-little,3181,good
48,male,1-own,,5190,good
29,female,1-own,1-little,2171,good
22,male,1-own,4-rich,1007,good
37,male,3-free,1-little,1819,bad
25,female,1-own,,2394,good
30,female,1-own,1-little,8133,good
46,male,2-rent,,730,good
51,male,3-free,1-little,1164,good
41,female,1-own,1-little,5954,good
40,male,1-own,,1977,bad
66,male,3-free,1-little,1526,good
34,male,1-own,1-little,3965,bad
51,male,1-own,1-little,4771,good
39,male,1-own,,9436,good
22,male,1-own,1-little,3832,good
44,female,1-own,,5943,bad
47,male,1-own,3-quite rich,1213,good
24,female,2-rent,2-moderate,1568,good
58,female,1-own,1-little,1755,good
52,male,1-own,1-little,2315,good
29,female,1-own,1-little,1412,good
27,female,1-own,1-little,1295,good
47,male,3-free,2-moderate,12612,bad
30,male,1-own,2-moderate,2249,good
28,male,1-own,1-little,1108,bad
56,male,1-own,1-little,618,good
54,male,1-own,1-little,1409,good
33,female,1-own,,797,bad
20,male,2-rent,,3617,good
54,male,1-own,4-rich,1318,good
58,male,2-rent,1-little,15945,bad
61,female,1-own,,2012,good
34,male,1-own,2-moderate,2622,good
36,male,1-own,1-little,2337,good
36,male,2-rent,,7057,good
41,male,2-rent,2-moderate,1469,good
24,male,2-rent,1-little,2323,good
24,female,1-own,1-little,932,good
35,male,2-rent,1-little,1919,good
26,male,2-rent,,2445,good
39,male,1-own,1-little,11938,bad
39,male,1-own,1-little,6458,bad
32,male,1-own,1-little,6078,good
30,female,1-own,,7721,good
35,male,1-own,3-quite rich,1410,good
31,male,1-own,2-moderate,1449,good
23,female,2-rent,1-little,392,good
28,male,2-rent,1-little,6260,good
25,female,1-own,1-little,7855,bad
35,male,1-own,3-quite rich,1680,good
47,male,1-own,,3578,good
30,female,1-own,,7174,bad
27,female,2-rent,,2132,good
23,female,1-own,3-quite rich,4281,bad
36,male,1-own,3-quite rich,2366,good
25,female,1-own,1-little,1835,bad
41,female,2-rent,1-little,3868,good
24,male,2-rent,1-little,1768,good
63,male,3-free,1-little,781,good
27,female,2-rent,,1924,bad
30,male,1-own,1-little,2121,good
40,male,1-own,1-little,701,good
30,male,1-own,1-little,639,bad
34,male,1-own,1-little,1860,good
29,female,1-own,1-little,3499,bad
24,female,1-own,,8487,good
29,male,1-own,1-little,6887,bad
27,male,1-own,1-little,2708,good
47,male,3-free,1-little,1984,good
21,female,1-own,2-moderate,10144,good
38,female,1-own,,1240,good
27,male,1-own,4-rich,8613,good
66,male,1-own,3-quite rich,766,bad
35,male,1-own,,2728,good
44,female,2-rent,1-little,1881,good
27,male,1-own,4-rich,709,good
30,female,1-own,1-little,4795,good
27,male,1-own,1-little,3416,good
22,male,1-own,1-little,2462,bad
23,female,1-own,1-little,2288,good
30,male,1-own,2-moderate,3566,good
39,female,1-own,1-little,860,good
51,female,1-own,2-moderate,682,good
28,male,1-own,1-little,5371,good
46,male,1-own,4-rich,1582,good
42,male,3-free,2-moderate,1346,good
38,male,1-own,1-little,1924,good
24,male,1-own,1-little,5848,good
29,female,2-rent,4-rich,7758,good
36,male,2-rent,2-moderate,6967,good
20,female,2-rent,1-little,1282,bad
48,male,1-own,2-moderate,1288,good
45,male,1-own,1-little,339,good
38,male,1-own,2-moderate,3512,good
34,male,1-own,,1898,good
36,male,1-own,2-moderate,2872,good
30,female,1-own,1-little,1055,good
36,male,1-own,3-quite rich,1262,good
70,male,3-free,1-little,7308,good
36,male,1-own,3-quite rich,909,good
32,male,1-own,3-quite rich,2978,good
33,female,1-own,1-little,1131,bad
20,female,1-own,4-rich,1577,good
25,female,2-rent,1-little,3972,good
31,male,1-own,1-little,1935,bad
33,male,2-rent,1-little,950,bad
26,female,1-own,1-little,763,good
34,female,1-own,1-little,2064,bad
33,male,1-own,1-little,1414,good
26,male,1-own,1-little,3414,bad
53,female,1-own,,7485,bad
42,male,1-own,1-little,2577,good
52,male,1-own,3-quite rich,338,good
31,male,2-rent,1-little,1963,good
65,male,1-own,1-little,571,good
28,male,1-own,1-little,9572,bad
30,male,1-own,1-little,4455,bad
40,male,1-own,,1647,bad
50,male,1-own,4-rich,3777,good
36,male,1-own,1-little,884,bad
31,male,1-own,1-little,1360,good
74,female,3-free,1-little,5129,bad
68,male,3-free,1-little,1175,good
20,male,1-own,2-moderate,674,bad
33,female,1-own,1-little,3244,good
54,male,1-own,4-rich,4591,bad
34,male,3-free,2-moderate,3844,bad
36,male,1-own,1-little,3915,bad
29,male,2-rent,1-little,2108,good
21,male,2-rent,2-moderate,3031,bad
34,female,1-own,1-little,1501,bad
28,female,1-own,1-little,1382,good
27,female,2-rent,2-moderate,951,bad
36,male,3-free,,2760,good
40,male,1-own,1-little,4297,bad
52,male,1-own,3-quite rich,936,good
27,male,1-own,1-little,1168,good
